Moi,NDF,Starch
60.82328638,35.56,37.2
50.48583665,29.28,45.84
63.11571081999999,41.44,33.25
65.41959407,39.32,32.91
62.91711378,31.35,41.55
63.66309808,43.11,30.369999999999997
62.44286099,32.55,37.87
64.25631285,37.8,36.78
57.14072993,41.86,32.24
58.82358168999999,34.78,37.98
70.13257576,42.57,25.96
57.829287750000006,29.52,45.45
66.96450909,35.36,36.94
56.46466667,33.72,39.08
53.93920596,37.63,35.2
58.06280363999999,35.08,38.36
61.26946535,35.74,38.24
67.3331546,41.21999999999999,31.330000000000002
54.91264662,34.96,39.17
63.0755814,38.07,35.83
60.424015280000006,34.85,38.99
57.499884789999996,39.03,36.17
66.75063348,37.86,34.04
67.50368912,37.45,32.08
62.10168739000001,35.67,29.77
62.35388309,30.339999999999996,43.29
65.08717949,39.51,30.55
64.34903004,34.42,38.75
64.78999003,38.02,37.27
67.37451786,34.27,36.06
67.84586957,40.17,33.05
47.13839416,39.67,40.95
47.33922211,37.98,35.2
64.36,36.35,41.13
74.66032895,44.83,25.65
63.45289063,36.1,39.8
62.21558295999999,44.54,26.43
47.77003567,38.17,35.73
50.23679688,42.52,34.46
63.5351139,36.64,37.54
62.00737896,34.95,37.35
60.29970018,31.49,43.53
56.3136528,33.18,39.8
60.21044487,33.99,40.42
65.27828371,36.36,35.14
63.83705440999999,36.35,38.26
59.522640290000005,43.77,36.49
66.69682387,47.8,33.72
67.96879699,40.66,31.47
65.22021459,40.85,30.28
66.25172697,39.02,34.2
71.0933541,45.78,15.220000000000002
66.42523185,35.79,35.88
46.48929071,27.75,43.58
50.72472122,30.809999999999995,42.2
56.99386838,38.39,33.12
59.596464839999996,38.28,34.55
59.06635551000001,35.64,38.65
64.52088795,35.41,33.04
68.0882963,39.96,34.0
61.22782329,35.24,35.79
63.441134749999996,35.9,34.45
65.27985415,35.51,36.95
56.022147649999994,38.54,34.07
66.02966232,36.91,34.91
63.14031732,32.43,42.18
68.54577213,40.67,30.51
50.89448905,42.78,37.38
64.82933333,36.04,35.82
56.226640350000004,40.4,35.3
52.24487805,35.84,41.75
69.18389286,39.21,32.41
67.79103825,37.77,35.59
70.8825878,34.87,41.26
70.26401631,36.75,33.54
70.23690165,40.49,32.19
67.75497312,40.68,30.97
65.80037437,36.2,33.67
50.68331762,26.690000000000005,50.8
60.8819788,35.71,38.09
65.12050551,36.85,35.01
67.2610585,38.4,31.79
68.88670178,38.07,30.130000000000003
61.98870406000001,36.41,35.84
